,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,scenario
118,GB3 0,GB3 0 onwind,wind_on,6979.218445636208,0.0,0.015,1.0,gen_wind_GB_4,0.0,,,,,0.0,,,
119,GB4 0,GB4 0 PHS,PHS,2744.0,0.0,0.0,0.0,const,43654.545454545456,1.0,const,const,0.67,2744.0,0.8660254037844386,1.5,
120,GB4 0,GB4 0 biomass,RES_other,134.95204888783155,0.0,15.828205128205129,1.0,const,0.0,,,,,0.0,,,
121,GB4 0,GB4 0 CCGT,fossil_gas,4021.5569180931434,0.0,46.80312068965518,1.0,const,0.0,,,,,0.0,,,
122,GB4 0,GB4 0 coal,fossil_other,786.5682680151708,0.0,32.21332121212121,1.0,const,0.0,,,,,0.0,,,
123,GB4 0,GB4 0 hydro,hydro,160.5,0.0,0.0,0.9,inflow_GB_1,144920.99322799098,1.0,const,const,0.67,0.0,0.0,0.0,
124,GB4 0,GB4 0 ror,ror,742.8180711874429,0.0,0.0,0.9,gen_ror_GB_1,0.0,,,,,0.0,,,
125,GB4 0,GB4 0 solar-hsat,solar,813.7802833867156,0.0,0.01,1.0,gen_sol_GB_4,0.0,,,,,0.0,,,
126,GB4 0,GB4 0 offwind-dc,wind_off,24.041083357604634,0.0,0.015,1.0,gen_wind_GB_6,0.0,,,,,0.0,,,
127,GB4 0,GB4 0 onwind,wind_on,6654.031554363791,0.0,0.015,1.0,gen_wind_GB_8,0.0,,,,,0.0,,,
128,GR0 0,GR0 0 PHS,PHS,699.0,0.0,0.0,0.0,const,5140.0,1.0,const,const,0.67,699.0,0.8660254037844386,1.5,
129,GR0 0,GR0 0 CCGT,fossil_gas,4902.0,0.0,48.06545619071036,1.0,const,0.0,,,,,0.0,,,
130,GR0 0,GR0 0 lignite,fossil_other,3912.0,0.0,13.256654545454548,1.0,const,0.0,,,,,0.0,,,
131,GR0 0,GR0 0 hydro,hydro,2403.0,0.0,0.0,0.9,inflow_GR_1,436778.0633002785,1.0,const,const,0.67,0.0,0.0,0.0,
132,GR0 0,GR0 0 ror,ror,299.0,0.0,0.0,0.9,gen_ror_GR_1,0.0,,,,,0.0,,,
133,GR0 0,GR0 0 solar-hsat,solar,2441.0,0.0,0.01,1.0,gen_sol_GR_2,0.0,,,,,0.0,,,
134,GR0 0,GR0 0 onwind,wind_on,2355.0,0.0,0.015,1.0,gen_wind_GR_4,0.0,,,,,0.0,,,
135,HR0 0,HR0 0 PHS,PHS,283.0,0.0,0.0,0.0,const,14823.308736352215,1.0,const,const,0.67,283.0,0.8660254037844386,1.5,
136,HR0 0,HR0 0 CCGT,fossil_gas,743.0,0.0,46.80312068965518,1.0,const,0.0,,,,,0.0,,,
137,HR0 0,HR0 0 hydro,hydro,1436.0,0.0,0.0,0.9,inflow_HR_1,2768374.867066472,1.0,const,const,0.67,0.0,0.0,0.0,
138,HR0 0,HR0 0 ror,ror,421.0,0.0,0.0,0.9,gen_ror_HR_1,0.0,,,,,0.0,,,
139,HR0 0,HR0 0 solar-hsat,solar,53.0,0.0,0.01,1.0,gen_sol_HR_2,0.0,,,,,0.0,,,
140,HR0 0,HR0 0 onwind,wind_on,616.0,0.0,0.015,1.0,gen_wind_HR_4,0.0,,,,,0.0,,,
141,HU0 0,HU0 0 biomass,RES_other,245.95,0.0,15.828205128205129,1.0,const,0.0,,,,,0.0,,,
142,HU0 0,HU0 0 CCGT,fossil_gas,4028.43,0.0,46.65563941365579,1.0,const,0.0,,,,,0.0,,,
143,HU0 0,HU0 0 coal,fossil_other,1700.4142391407934,0.0,67.66461572871573,1.0,const,0.0,,,,,0.0,,,
144,HU0 0,HU0 0 hydro,hydro,28.160000000000004,0.0,0.0,0.9,inflow_HU_1,201142.8571428572,1.0,const,const,0.67,0.0,0.0,0.0,
145,HU0 0,HU0 0 nuclear,nuclear,1898.87,0.0,14.013271165644172,0.891,const,0.0,,,,,0.0,,,
146,HU0 0,HU0 0 ror,ror,29.65,0.0,0.0,0.9,gen_ror_HU_1,0.0,,,,,0.0,,,
147,HU0 0,HU0 0 solar-hsat,solar,936.25,0.0,0.01,1.0,gen_sol_HU_2,0.0,,,,,0.0,,,
148,HU0 0,HU0 0 onwind,wind_on,327.48,0.0,0.015,1.0,gen_wind_HU_1,0.0,,,,,0.0,,,
149,IE4 0,IE4 0 PHS,PHS,292.0,0.0,0.0,0.0,const,1800.0,1.0,const,const,0.67,292.0,0.8660254037844386,1.5,
150,IE4 0,IE4 0 biomass,RES_other,68.0,0.0,15.828205128205129,1.0,const,0.0,,,,,0.0,,,
