,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband
246,RO0 0,RO0 0 hydro,hydro,3373,0,0,0.9,inflow_RO_1,9171651.753,1,const,const,0.67,0,0,0
247,RO0 0,RO0 0 nuclear,nuclear,1300,0,14.01327117,0.906,const,0,,,,,0,,
248,RO0 0,RO0 0 ror,ror,2770,0,0,0.9,gen_ror_RO_1,0,,,,,0,,
249,RO0 0,RO0 0 solar-hsat,solar,1150,0,0.01,1,gen_sol_RO_2,0,,,,,0,,
251,RO0 0,RO0 0 onwind,wind_on,2968,0,0.015,1,gen_wind_RO_4,0,,,,,0,,
252,RS0 0,RS0 0 PHS,PHS,639,0,0,0,const,3834,1,const,const,0.67,639,0.866025404,1.5
254,RS0 0,RS0 0 CCGT,fossil_gas,286.41,0,46.80312069,1,const,0,,,,,0,,
255,RS0 0,RS0 0 lignite,fossil_other,5600.5,0,13.25665455,1,const,0,,,,,0,,
256,RS0 0,RS0 0 hydro,hydro,344.7,0,0,0.9,inflow_RS_1,0,1,const,const,0.67,0,0,0
257,RS0 0,RS0 0 ror,ror,1981.98,0,0,0.9,gen_ror_RS_1,0,,,,,0,,
258,RS0 0,RS0 0 solar-hsat,solar,23.448,0,0.01,1,gen_sol_RS_2,0,,,,,0,,
259,RS0 0,RS0 0 onwind,wind_on,398.32,0,0.015,1,gen_wind_RS_1,0,,,,,0,,
260,SE1 0,SE1 0 PHS,PHS,92,0,0,0,const,72120,1,const,const,0.67,92,0.866025404,1.5
261,SE1 0,SE1 0 biomass,RES_other,1111,0,15.82820513,1,const,0,,,,,0,,
262,SE1 0,SE1 0 CCGT,fossil_gas,176,0,46.80312069,1,const,0,,,,,0,,
263,SE1 0,SE1 0 hydro,hydro,16301,0,0,0.9,inflow_SE_1,50644760.4,1,const,const,0.67,0,0,0
264,SE1 0,SE1 0 nuclear,nuclear,8586,0,14.01327117,0.817,const,0,,,,,0,,
265,SE1 0,SE1 0 ror,ror,1279,0,0,0.9,gen_ror_SE_1,0,,,,,0,,
266,SE1 0,SE1 0 solar-hsat,solar,714,0,0.01,1,gen_sol_SE_2,0,,,,,0,,
267,SE1 0,SE1 0 offwind-dc,wind_off,281.15,0,0.015,1,gen_wind_SE_2,0,,,,,0,,
268,SE1 0,SE1 0 onwind,wind_on,7506,0,0.015,1,gen_wind_SE_4,0,,,,,0,,
269,SI0 0,SI0 0 PHS,PHS,180,0,0,0,const,1080,1,const,const,0.67,180,0.866025404,1.5
270,SI0 0,SI0 0 CCGT,fossil_gas,491,0,46.80312069,1,const,0,,,,,0,,
271,SI0 0,SI0 0 coal,fossil_other,1038.320183,0,22.73498788,1,const,0,,,,,0,,
272,SI0 0,SI0 0 hydro,hydro,576.19,0,0,0.9,inflow_SI_1,2200000,1,const,const,0.67,0,0,0
273,SI0 0,SI0 0 nuclear,nuclear,696,0,14.01327117,0.884,const,0,,,,,0,,
274,SI0 0,SI0 0 ror,ror,1053,0,0,0.9,gen_ror_SI_1,0,,,,,0,,
275,SI0 0,SI0 0 solar-hsat,solar,275.34,0,0.01,1,gen_sol_SI_2,0,,,,,0,,
278,SK0 0,SK0 0 PHS,PHS,916,0,0,0,const,5496,1,const,const,0.67,916,0.866025404,1.5
279,SK0 0,SK0 0 CCGT,fossil_gas,1153,0,91.64973637,1,const,0,,,,,0,,
280,SK0 0,SK0 0 coal,fossil_other,541,0,22.73498788,1,const,0,,,,,0,,
281,SK0 0,SK0 0 hydro,hydro,418,0,0,0.9,inflow_SK_1,3256373.938,1,const,const,0.67,0,0,0
282,SK0 0,SK0 0 nuclear,nuclear,1940,0,14.01327117,0.908,const,0,,,,,0,,
283,SK0 0,SK0 0 ror,ror,1208,0,0,0.9,gen_ror_SK_1,0,,,,,0,,
284,SK0 0,SK0 0 solar-hsat,solar,531,0,0.01,1,gen_sol_SK_2,0,,,,,0,,
