week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,const
2.45,2.38,2.33,2.25,2.16,2.01,1.9,1.81,1.67,1.5,1.38,1.16,1.0,0.98,0.95,0.94,0.94,0.95,1.09,1.38,1.73,1.96,2.16,2.31,2.38,2.5,2.55,2.6,2.64,2.64,2.69,2.72,2.73,2.73,2.73,2.73,2.76,2.73,2.73,2.76,2.76,2.73,2.76,2.76,2.73,2.72,2.69,2.65,2.64,2.6,2.54,2.49,1
2.4,2.34,2.28,2.2,2.11,1.96,1.84,1.74,1.6,1.43,1.3,1.08,0.99,0.96,0.94,0.93,0.93,0.94,1.0,1.3,1.67,1.9,2.11,2.26,2.34,2.46,2.51,2.55,2.6,2.6,2.65,2.69,2.69,2.69,2.69,2.69,2.73,2.69,2.69,2.73,2.73,2.69,2.73,2.73,2.69,2.69,2.65,2.61,2.6,2.55,2.5,2.45,1
2.36,2.29,2.23,2.15,2.06,1.9,1.78,1.68,1.53,1.36,1.22,1.0,0.97,0.95,0.93,0.92,0.92,0.93,0.99,1.22,1.6,1.84,2.06,2.22,2.29,2.41,2.47,2.51,2.56,2.57,2.61,2.65,2.65,2.65,2.65,2.66,2.69,2.66,2.66,2.69,2.69,2.66,2.69,2.69,2.65,2.65,2.61,2.57,2.56,2.51,2.46,2.4,1
2.32,2.25,2.18,2.1,2.01,1.84,1.72,1.62,1.47,1.29,1.15,0.99,0.96,0.94,0.92,0.9,0.9,0.92,0.97,1.15,1.53,1.78,2.01,2.17,2.25,2.37,2.43,2.47,2.52,2.53,2.57,2.61,2.62,2.62,2.62,2.62,2.66,2.62,2.62,2.66,2.66,2.62,2.66,2.66,2.62,2.61,2.57,2.53,2.52,2.47,2.41,2.36,1
2.27,2.2,2.14,2.05,1.95,1.79,1.66,1.56,1.4,1.22,1.08,0.97,0.95,0.93,0.9,0.89,0.89,0.9,0.96,1.08,1.47,1.72,1.95,2.12,2.2,2.33,2.39,2.43,2.48,2.49,2.54,2.57,2.58,2.58,2.58,2.58,2.62,2.58,2.58,2.62,2.62,2.58,2.62,2.62,2.58,2.57,2.54,2.49,2.48,2.43,2.37,2.32,1
2.23,2.15,2.09,2.0,1.9,1.73,1.6,1.5,1.33,1.14,1.0,0.96,0.94,0.91,0.89,0.88,0.88,0.89,0.95,1.0,1.4,1.66,1.9,2.07,2.15,2.29,2.35,2.39,2.44,2.45,2.5,2.54,2.54,2.54,2.54,2.55,2.58,2.55,2.55,2.58,2.58,2.55,2.58,2.58,2.54,2.54,2.5,2.46,2.44,2.39,2.33,2.27,1
2.19,2.11,2.04,1.95,1.85,1.67,1.54,1.43,1.27,1.07,0.99,0.95,0.92,0.9,0.88,0.87,0.87,0.88,0.94,0.99,1.33,1.6,1.85,2.02,2.11,2.24,2.31,2.35,2.4,2.41,2.46,2.5,2.51,2.51,2.51,2.51,2.55,2.51,2.51,2.55,2.55,2.51,2.55,2.55,2.51,2.5,2.46,2.42,2.4,2.35,2.29,2.23,1
2.14,2.06,1.99,1.9,1.79,1.62,1.48,1.37,1.2,1.0,0.97,0.93,0.91,0.89,0.87,0.86,0.86,0.87,0.92,0.97,1.27,1.54,1.79,1.97,2.06,2.2,2.27,2.31,2.36,2.37,2.42,2.46,2.47,2.47,2.47,2.48,2.51,2.48,2.48,2.51,2.51,2.48,2.51,2.51,2.47,2.46,2.42,2.38,2.36,2.31,2.24,2.19,1
2.1,2.02,1.95,1.85,1.74,1.56,1.42,1.31,1.13,0.99,0.96,0.92,0.9,0.88,0.86,0.84,0.84,0.86,0.91,0.96,1.2,1.48,1.74,1.92,2.02,2.16,2.23,2.27,2.32,2.33,2.39,2.42,2.43,2.43,2.43,2.44,2.48,2.44,2.44,2.48,2.48,2.44,2.48,2.48,2.43,2.42,2.39,2.34,2.32,2.27,2.2,2.14,1
2.05,1.97,1.9,1.8,1.69,1.51,1.36,1.25,1.07,0.97,0.94,0.91,0.88,0.86,0.84,0.83,0.83,0.84,0.9,0.94,1.13,1.42,1.69,1.88,1.97,2.11,2.19,2.23,2.28,2.29,2.35,2.39,2.4,2.4,2.4,2.4,2.44,2.4,2.4,2.44,2.44,2.4,2.44,2.44,2.4,2.39,2.35,2.3,2.28,2.23,2.16,2.1,1
2.01,1.92,1.85,1.75,1.64,1.45,1.3,1.19,1.0,0.96,0.93,0.89,0.87,0.85,0.83,0.82,0.82,0.83,0.88,0.93,1.07,1.36,1.64,1.83,1.92,2.07,2.15,2.19,2.24,2.25,2.31,2.35,2.36,2.36,2.36,2.37,2.4,2.37,2.37,2.4,2.4,2.37,2.4,2.4,2.36,2.35,2.31,2.26,2.24,2.19,2.11,2.05,1
1.97,1.88,1.81,1.7,1.58,1.39,1.24,1.12,0.98,0.94,0.92,0.88,0.86,0.84,0.82,0.81,0.81,0.82,0.87,0.92,1.0,1.3,1.58,1.78,1.88,2.03,2.1,2.15,2.2,2.21,2.28,2.31,2.32,2.32,2.32,2.33,2.37,2.33,2.33,2.37,2.37,2.33,2.37,2.37,2.32,2.31,2.28,2.23,2.2,2.15,2.07,2.01,1
1.92,1.83,1.76,1.65,1.53,1.34,1.18,1.06,0.97,0.93,0.9,0.87,0.85,0.83,0.81,0.8,0.8,0.81,0.86,0.9,0.98,1.24,1.53,1.73,1.83,1.99,2.06,2.1,2.16,2.17,2.24,2.27,2.29,2.29,2.29,2.3,2.33,2.3,2.3,2.33,2.33,2.3,2.33,2.33,2.29,2.27,2.24,2.19,2.16,2.1,2.03,1.97,1
1.88,1.78,1.71,1.6,1.48,1.28,1.12,1.0,0.95,0.91,0.89,0.86,0.83,0.81,0.8,0.78,0.78,0.8,0.85,0.89,0.97,1.18,1.48,1.68,1.78,1.94,2.02,2.06,2.12,2.13,2.2,2.24,2.25,2.25,2.25,2.26,2.3,2.26,2.26,2.3,2.3,2.26,2.3,2.3,2.25,2.24,2.2,2.15,2.12,2.06,1.99,1.92,1
1.83,1.74,1.66,1.55,1.42,1.23,1.06,0.98,0.94,0.9,0.87,0.84,0.82,0.8,0.78,0.77,0.77,0.78,0.83,0.87,0.95,1.12,1.42,1.63,1.74,1.9,1.98,2.02,2.08,2.1,2.16,2.2,2.21,2.21,2.21,2.22,2.26,2.22,2.22,2.26,2.26,2.22,2.26,2.26,2.21,2.2,2.16,2.11,2.08,2.02,1.94,1.88,1
1.79,1.69,1.62,1.5,1.37,1.17,1.0,0.97,0.92,0.89,0.86,0.83,0.81,0.79,0.77,0.76,0.76,0.77,0.82,0.86,0.94,1.06,1.37,1.58,1.69,1.86,1.94,1.98,2.04,2.06,2.12,2.16,2.18,2.18,2.18,2.19,2.22,2.19,2.19,2.22,2.22,2.19,2.22,2.22,2.18,2.16,2.12,2.07,2.04,1.98,1.9,1.83,1
1.75,1.65,1.57,1.45,1.32,1.11,0.98,0.95,0.91,0.87,0.85,0.82,0.79,0.78,0.76,0.75,0.75,0.76,0.81,0.85,0.92,1.0,1.32,1.54,1.65,1.81,1.9,1.94,2.0,2.02,2.09,2.12,2.14,2.14,2.14,2.15,2.19,2.15,2.15,2.19,2.19,2.15,2.19,2.19,2.14,2.12,2.09,2.03,2.0,1.94,1.86,1.79,1
1.7,1.6,1.52,1.4,1.26,1.06,0.97,0.94,0.89,0.86,0.83,0.8,0.78,0.76,0.75,0.74,0.74,0.75,0.79,0.83,0.91,0.98,1.26,1.49,1.6,1.77,1.86,1.9,1.96,1.98,2.05,2.09,2.1,2.1,2.1,2.12,2.15,2.12,2.12,2.15,2.15,2.12,2.15,2.15,2.1,2.09,2.05,2.0,1.96,1.9,1.81,1.75,1
